SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,IsMale,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No
False,True,True,0.676056338028169,True,False,True,True,False,True,False,False,False,0.41144278606965173,0.34058389106854375,False,True,True,False,False,False,True,False,False,True,False,False
False,False,False,0.4084507042253521,True,False,True,True,False,False,False,False,True,0.3686567164179104,0.17445188091391645,False,False,True,False,False,True,False,False,False,True,False,False
False,True,True,0.647887323943662,True,True,False,True,False,False,True,True,True,0.8069651741293532,0.545851603969536,True,True,True,False,False,False,False,True,False,False,True,False
False,True,True,0.0,False,False,False,True,False,False,False,False,False,0.11890547263681592,0.0013154858066005077,True,True,True,False,False,False,False,True,False,True,False,False
False,True,False,1.0,True,True,True,True,True,True,True,True,True,0.7164179104477612,0.7328236787445188,False,True,False,False,True,False,True,False,False,True,False,False
False,False,True,0.22535211267605634,True,False,False,False,False,False,True,True,True,0.4621890547263682,0.12396722824832679,True,False,True,False,False,False,False,False,True,True,False,False
True,True,False,0.9859154929577465,True,True,True,True,True,True,False,False,True,0.7771144278606965,0.7786925917378259,False,False,False,False,True,False,True,False,False,False,True,False
True,True,False,0.014084507042253521,True,False,False,False,True,False,True,True,True,0.7686567164179104,0.01879183014078006,False,True,True,False,False,False,True,False,False,False,True,False
False,True,True,0.36619718309859156,True,False,True,True,True,True,False,False,False,0.47661691542288565,0.21412993307177478,False,False,False,True,False,False,False,False,True,True,False,False
False,False,False,0.0,True,False,False,False,False,False,False,False,False,0.019402985074626858,0.00016155088852988676,False,True,True,False,False,True,False,False,False,False,False,True
True,False,False,0.0,True,False,False,False,False,False,False,False,False,0.26865671641791045,0.003052157858296792,False,True,True,False,False,True,False,False,False,True,False,False
False,True,True,1.0,True,True,True,True,False,True,True,False,False,0.8124378109452737,0.8346295868912993,False,False,False,False,True,True,False,False,False,False,True,False
False,False,False,0.056338028169014086,True,False,False,False,False,False,False,False,True,0.5119402985074627,0.034398799907685206,True,True,True,False,False,False,False,True,False,False,True,False
False,False,False,0.6338028169014085,True,False,False,False,True,False,False,False,True,0.5626865671641791,0.40728132933302563,False,False,True,False,False,False,True,False,False,False,True,False
False,False,False,0.4647887323943662,True,True,False,True,True,False,True,True,True,0.8766169154228856,0.4073909531502423,True,True,True,False,False,False,False,True,False,False,True,False
False,False,False,0.14084507042253522,True,True,False,False,True,False,True,True,True,0.7920398009950248,0.12538656819755367,True,False,True,False,False,True,False,False,False,False,True,False
False,True,True,0.1267605633802817,True,False,False,True,False,False,False,False,False,0.3114427860696517,0.05272328640664666,False,True,False,True,False,False,False,False,True,True,False,False
False,True,True,0.971830985915493,True,True,True,True,False,False,True,False,True,0.5069651741293533,0.5600680821601662,False,False,False,False,True,False,True,False,False,True,False,False
False,True,True,0.22535211267605634,True,False,False,False,False,False,False,False,False,0.024875621890547265,0.04609393030233095,False,False,False,True,False,False,False,False,True,False,False,True
False,False,False,0.8732394366197183,True,True,True,True,True,True,True,False,True,0.6129353233830845,0.5588102930994692,False,False,False,False,True,False,True,False,False,True,False,False
False,True,False,0.16901408450704225,True,True,True,True,False,True,True,False,True,0.5766169154228856,0.11108354488806832,False,False,True,False,False,False,False,True,False,True,False,False
False,False,False,0.676056338028169,True,True,False,False,False,False,False,True,True,0.6592039800995025,0.44863835679667663,False,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.014084507042253521,True,False,False,True,False,False,False,False,False,0.30845771144278605,0.009023771059312255,False,True,True,False,False,False,False,False,True,True,False,False
False,False,False,0.014084507042253521,True,False,False,False,False,False,True,False,True,0.6208955223880598,0.014464574198015234,True,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.7183098591549296,True,True,True,False,False,True,True,True,True,0.6119402985074627,0.4845372720978537,False,True,False,False,True,False,True,False,False,True,False,False
False,True,True,0.9577464788732394,True,True,True,False,True,True,False,False,True,0.4567164179104478,0.48872605585045004,False,False,False,False,True,False,True,False,False,True,False,False
True,False,False,0.5915492957746479,True,True,False,True,False,False,True,False,True,0.7164179104477612,0.4407973690283868,False,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.19718309859154928,True,False,True,True,False,False,True,True,True,0.8044776119402984,0.1624278790676206,True,False,True,False,False,False,True,False,False,False,True,False
True,True,False,0.3380281690140845,True,True,True,False,False,True,True,False,True,0.5099502487562189,0.2000750057696746,False,False,True,False,False,False,True,False,False,True,False,False
True,True,False,0.09859154929577464,True,True,False,True,False,False,False,False,True,0.6208955223880598,0.07090930071543965,True,False,True,False,False,False,True,False,False,False,True,False
True,True,True,0.8309859154929577,True,False,True,True,True,True,False,True,True,0.56318407960199,0.5120643895684284,False,False,False,True,False,False,True,False,False,True,False,False
True,False,False,0.23943661971830985,True,True,False,False,False,False,True,True,True,0.7681592039800995,0.20006346642049389,True,True,True,False,False,False,False,True,False,False,True,False
False,True,True,0.8732394366197183,True,True,True,False,False,False,True,True,True,0.809950248756219,0.7261020078467574,False,False,False,True,False,False,True,False,False,False,True,False
True,True,True,0.9154929577464789,True,True,False,True,True,True,True,True,True,0.8975124378109453,0.814395338102931,False,True,False,True,False,False,False,True,False,False,True,False
False,True,True,0.4647887323943662,True,True,False,False,False,False,False,False,False,0.06666666666666667,0.10102700207708286,False,False,False,False,True,False,True,False,False,False,False,True
False,False,False,1.0,True,True,False,False,True,True,True,True,True,0.8880597014925373,0.9040964689591506,False,False,False,False,True,False,True,False,False,False,True,False
False,True,False,0.647887323943662,True,True,False,False,True,False,True,True,True,0.818407960199005,0.5409993076390491,False,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.8309859154929577,True,True,False,True,False,False,True,False,True,0.7129353233830846,0.6268059081467805,False,True,True,False,False,True,False,False,False,False,True,False
False,True,False,1.0,False,False,True,True,True,False,False,False,False,0.2373134328358209,0.3396261250865451,False,True,False,False,True,True,False,False,False,True,False,False
False,True,True,0.23943661971830985,True,False,False,False,True,True,False,False,True,0.3597014925373134,0.10827371336256636,False,False,False,True,False,False,True,False,False,True,False,False
False,False,False,0.11267605633802817,True,True,False,False,False,False,True,True,False,0.7577114427860697,0.0967516732056312,True,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.028169014084507043,True,False,False,True,False,True,True,True,True,0.5676616915422885,0.025998153704131086,False,False,True,False,False,False,False,True,False,True,False,False
False,True,False,0.647887323943662,True,True,False,True,False,False,False,False,True,0.6034825870646767,0.41905723517193627,False,True,False,True,False,False,False,True,False,False,True,False
False,False,False,0.4225352112676056,True,False,False,True,True,True,True,True,False,0.6064676616915423,0.28599123009462263,False,False,False,False,True,False,False,False,True,True,False,False
False,True,True,0.6901408450704225,True,False,False,False,False,False,False,False,False,0.018905472636815905,0.10525040387722133,False,False,False,False,True,True,False,False,False,False,False,True
False,False,False,0.1267605633802817,True,False,True,False,True,False,False,False,True,0.6129353233830845,0.10022501730902378,False,True,True,False,False,False,False,False,True,False,True,False
False,False,False,0.0,True,False,False,False,False,True,False,False,False,0.30646766169154227,0.0034906531271636275,False,True,True,False,False,False,False,False,True,True,False,False
False,True,True,0.7183098591549296,True,False,False,False,False,False,False,False,True,0.021393034825870634,0.12368451419339951,False,False,False,True,False,False,False,True,False,False,False,True
True,True,True,0.8873239436619719,True,True,True,False,True,True,True,True,True,0.9288557213930347,0.8170090006923609,False,True,False,False,True,True,False,False,False,False,True,False
False,True,True,0.8591549295774648,True,True,False,False,False,False,False,False,True,0.05970149253731343,0.16222017078236786,False,True,False,False,True,True,False,False,False,False,False,True
False,False,True,0.028169014084507043,True,False,True,False,False,True,False,True,True,0.4601990049751244,0.018301407800600047,False,False,True,False,False,True,False,False,False,True,False,False
True,False,False,0.7746478873239436,True,True,True,True,True,False,True,True,False,0.917910447761194,0.7062889453034848,False,False,False,True,False,False,False,True,False,False,True,False
False,False,False,0.6338028169014085,True,False,False,False,False,False,False,True,False,0.37213930348258706,0.30810639279944607,False,False,False,True,False,False,True,False,False,True,False,False
False,True,True,0.09859154929577464,True,False,True,True,False,False,False,False,False,0.36218905472636814,0.05347911377798292,False,False,True,False,False,False,False,False,True,True,False,False
True,False,False,0.4084507042253521,True,False,True,True,False,False,True,True,True,0.5621890547263682,0.2414608816062774,False,True,True,False,False,False,False,True,False,True,False,False
False,True,True,0.6197183098591549,True,True,False,False,False,False,False,False,True,0.07611940298507461,0.13821832448649896,False,False,False,True,False,False,True,False,False,False,False,True
False,False,True,0.0,True,False,False,False,False,False,True,False,True,0.6079601990049751,0.006987075928917608,True,False,True,False,False,False,False,True,False,False,True,False
False,True,True,0.14084507042253522,False,False,True,False,False,False,True,True,False,0.3213930348258706,0.06306831294714979,False,False,True,False,False,False,False,True,False,True,False,False
False,True,False,0.08450704225352113,True,False,False,False,True,False,False,False,True,0.5661691542288558,0.05516962843295638,True,False,True,False,False,True,False,False,False,False,True,False
False,False,False,0.5774647887323944,True,False,False,True,True,True,True,True,True,0.8512437810945274,0.49719593814908836,False,False,True,False,False,True,False,False,False,False,True,False
False,True,False,0.676056338028169,True,False,False,False,False,False,False,False,True,0.018905472636815905,0.11014885760443112,False,False,False,False,True,True,False,False,False,False,False,True
False,False,False,0.11267605633802817,True,True,False,True,False,False,True,True,True,0.8064676616915423,0.10384837295176552,False,True,True,False,False,False,True,False,False,False,True,False
False,True,False,0.4788732394366197,True,False,True,False,False,False,True,False,True,0.4368159203980099,0.2534791137779829,False,False,False,True,False,True,False,False,False,True,False,False
False,True,True,0.6619718309859155,True,False,False,False,False,False,False,False,False,0.02388059701492536,0.11980152319409186,False,False,False,False,True,True,False,False,False,False,False,True
False,True,True,0.6338028169014085,True,False,False,False,False,False,False,False,True,0.016915422885572132,0.1048119086083545,False,False,False,False,True,False,False,False,True,False,False,True
False,True,False,0.39436619718309857,False,False,False,False,False,False,True,False,False,0.15422885572139303,0.11429148396030464,False,True,True,False,False,False,False,False,True,True,False,False
False,True,True,0.4084507042253521,True,False,False,True,True,False,False,False,False,0.6348258706467661,0.29441495499653814,False,True,True,False,False,True,False,False,False,False,True,False
True,False,False,0.0,True,False,False,False,False,True,False,False,False,0.5616915422885572,0.006450496192014771,False,True,True,False,False,False,False,True,False,False,True,False
False,True,True,0.9154929577464789,True,True,True,False,True,True,True,True,True,0.654228855721393,0.6572178629125317,False,True,False,False,True,False,False,False,True,True,False,False
False,False,False,0.9014084507042254,True,True,True,True,True,False,True,True,True,0.9233830845771144,0.8179321486268174,False,False,True,False,False,False,True,False,False,False,True,False
False,False,False,1.0,True,True,False,True,True,False,True,True,True,0.8223880597014926,0.8585564274174936,False,True,False,False,True,True,False,False,False,False,True,False
False,False,False,0.15492957746478872,True,True,True,False,False,False,False,False,True,0.6039800995024875,0.10484075698130627,True,False,True,False,False,False,False,True,False,False,True,False
False,True,True,0.9859154929577465,True,True,True,True,False,True,False,False,True,0.48358208955223875,0.545799676898223,False,True,False,True,False,False,True,False,False,True,False,False
False,False,False,0.056338028169014086,True,False,False,False,False,False,False,False,False,0.027860696517412943,0.01096815139626125,True,True,True,False,False,False,False,False,True,False,False,True
False,False,False,0.7183098591549296,True,False,False,False,False,False,False,False,False,0.02736318407960199,0.12559427648280638,False,True,False,False,True,True,False,False,False,False,False,True
True,True,False,0.3380281690140845,True,False,False,True,True,False,True,True,True,0.7985074626865671,0.2879875375028848,True,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.0,True,False,False,False,False,False,False,False,False,0.019402985074626858,0.00016155088852988676,False,True,True,False,False,False,False,False,True,False,False,True
False,True,True,0.0,True,False,False,False,False,False,False,False,False,0.01194029850746268,7.500576967459019e-05,False,False,True,False,False,False,False,True,False,False,False,True
False,False,False,0.5211267605633803,True,True,False,False,True,True,True,False,False,0.763681592039801,0.41389337641357027,False,True,False,True,False,True,False,False,False,False,True,False
True,True,False,0.9154929577464789,False,False,False,True,True,False,True,False,False,0.2716417910447761,0.3471555504269559,False,False,False,True,False,True,False,False,False,True,False,False
False,True,False,0.9436619718309859,True,True,False,True,True,True,True,True,True,0.9129353233830846,0.8761885529656127,True,True,False,False,True,True,False,False,False,False,True,False
False,False,False,0.056338028169014086,False,False,False,False,False,False,False,False,False,0.060199004975124384,0.009393030233094854,False,True,True,False,False,False,False,False,True,True,False,False
False,True,True,1.0,True,True,True,True,False,False,True,True,True,0.854726368159204,0.840555042695592,False,False,False,True,False,False,False,True,False,False,True,False
False,False,False,0.43661971830985913,False,False,True,False,False,False,False,False,False,0.11840796019900496,0.10487537502884837,False,False,False,True,False,False,False,False,True,True,False,False
False,False,False,0.5915492957746479,True,True,False,False,False,False,True,True,False,0.7572139303482587,0.45032310177705975,False,True,False,True,False,False,False,False,True,False,True,False
False,True,True,1.0,True,False,False,False,False,False,False,False,False,0.011442786069651727,0.15514078006000462,False,True,False,False,True,False,True,False,False,False,False,True
False,True,False,0.7605633802816901,True,True,True,True,False,False,True,False,True,0.7810945273631841,0.6023655665820448,True,True,True,False,False,False,False,True,False,False,True,False
False,False,False,0.7183098591549296,True,False,True,False,True,True,False,False,False,0.3950248756218906,0.34888645280406183,False,False,False,True,False,False,True,False,False,True,False,False
False,False,False,0.5915492957746479,True,False,False,True,True,False,True,False,True,0.7303482587064677,0.45410800830833137,False,False,True,False,False,False,False,True,False,False,True,False
True,True,False,0.5070422535211268,True,True,False,False,False,False,False,False,True,0.5796019900497512,0.3287964458804523,True,False,True,False,False,False,False,True,False,False,True,False
False,True,True,0.8873239436619719,False,False,False,True,False,True,True,True,True,0.3616915422885572,0.3928802215555042,False,False,False,False,True,False,False,True,False,True,False,False
False,True,True,0.028169014084507043,True,False,True,True,False,False,True,False,False,0.7124378109452736,0.026494345718901455,False,True,True,False,False,False,False,True,False,False,True,False
False,False,False,0.49295774647887325,False,False,True,False,False,False,False,False,False,0.127363184079602,0.12780406185091162,False,False,False,False,True,True,False,False,False,True,False,False
False,True,True,0.1267605633802817,True,True,True,False,False,False,True,True,True,0.8159203980099502,0.12068428340641589,True,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.5633802816901409,True,False,False,False,False,False,False,False,False,0.02388059701492536,0.09420147703669514,False,False,False,False,True,False,False,False,True,False,False,True
False,True,True,0.36619718309859156,True,True,False,True,False,True,False,False,True,0.6661691542288557,0.246111239326102,False,True,True,False,False,False,True,False,False,False,True,False
False,True,True,0.7746478873239436,True,True,False,False,True,False,True,True,True,0.8114427860696517,0.6342776367412878,False,False,False,True,False,False,True,False,False,False,True,False
False,False,False,0.07042253521126761,True,False,False,False,False,False,False,False,False,0.024378109452736312,0.010841218555273483,False,False,True,False,False,False,False,False,True,False,False,True
False,False,False,0.028169014084507043,True,True,False,False,False,False,False,False,True,0.5587064676616916,0.024319178398338335,True,True,True,False,False,False,False,True,False,False,True,False
False,True,True,0.08450704225352113,True,False,True,False,False,False,False,False,False,0.3228855721393035,0.03825871220863143,False,False,True,False,False,False,False,False,True,True,False,False
False,True,True,0.04225352112676056,True,False,False,False,False,False,False,False,False,0.025870646766169167,0.005088852988691437,False,False,True,False,False,False,False,False,True,False,False,True
False,False,False,0.4507042253521127,True,False,True,False,False,True,True,False,True,0.7034825870646766,0.3472017078236787,False,True,False,False,True,False,False,True,False,False,True,False
True,False,False,0.36619718309859156,True,True,False,False,True,False,False,False,True,0.5950248756218905,0.24425340410800828,True,False,True,False,False,False,False,True,False,False,True,False
False,True,False,1.0,True,True,False,False,False,False,False,False,True,0.052736318407960205,0.1967632125548119,False,True,False,False,True,True,False,False,False,False,False,True
False,False,False,0.0,True,False,False,False,False,False,False,False,False,0.014925373134328358,0.0001096238172167089,False,True,True,False,False,False,False,False,True,False,False,True
True,False,False,0.9859154929577465,False,False,True,True,False,False,True,True,True,0.3800995024875622,0.45771405492730205,False,True,False,True,False,False,False,True,False,True,False,False
False,False,False,0.16901408450704225,True,True,False,False,False,False,False,True,True,0.6736318407960199,0.13810870066928227,False,False,True,False,False,False,False,True,False,False,True,False
False,True,True,0.3380281690140845,False,False,True,True,True,False,True,True,True,0.4014925373134329,0.1712266328179091,True,False,True,False,False,False,True,False,False,True,False,False
False,False,False,0.9295774647887324,True,False,False,False,False,True,False,False,False,0.3213930348258706,0.3740249249942303,False,True,False,False,True,True,False,False,False,True,False,False
False,False,False,0.0,False,False,False,False,False,False,False,True,True,0.1711442786069652,0.001921301638587584,True,True,True,False,False,False,False,True,False,True,False,False
False,False,False,0.014084507042253521,True,False,False,False,False,False,False,False,False,0.25970149253731345,0.007206323563351027,True,True,True,False,False,False,False,True,False,True,False,False
False,False,False,0.5915492957746479,True,True,False,False,False,False,False,False,True,0.07412935323383084,0.13494114931917842,False,False,False,False,True,False,True,False,False,False,False,True
False,False,False,0.30985915492957744,True,False,True,False,False,False,False,False,True,0.5646766169154229,0.20305792753288715,False,False,True,False,False,True,False,False,False,False,True,False
False,True,True,0.8873239436619719,True,False,False,False,False,False,False,False,False,0.019402985074626858,0.14527463651050082,False,False,False,False,True,False,False,False,True,False,False,True
False,False,True,0.7887323943661971,True,False,False,False,False,False,False,False,True,0.013432835820895536,0.13290445418878374,False,True,False,False,True,False,False,False,True,False,False,True
True,True,False,0.0,True,False,False,False,False,False,False,False,True,0.5194029850746269,0.005960073851834757,True,False,True,False,False,False,False,False,True,False,True,False
True,True,True,1.0,True,True,True,True,True,True,True,True,True,0.6945273631840796,0.7393087929840756,False,False,False,False,True,False,True,False,False,True,False,False
False,False,False,0.09859154929577464,True,True,True,False,False,True,False,True,False,0.5263681592039802,0.06287214401107778,True,False,True,False,False,False,False,True,False,True,False,False
False,True,False,0.8450704225352113,True,True,False,True,False,False,True,True,True,0.8238805970149253,0.6868739903069466,False,False,False,False,True,True,False,False,False,False,True,False
False,False,False,0.8873239436619719,True,True,True,True,False,False,False,False,True,0.6572139303482587,0.608152550196169,False,True,False,True,False,False,True,False,False,False,True,False
True,True,False,0.9859154929577465,True,True,False,False,False,False,False,False,False,0.05671641791044776,0.20048465266558968,False,True,False,False,True,True,False,False,False,False,False,True
False,True,True,0.9014084507042254,True,True,True,True,False,True,True,False,True,0.8039800995024875,0.7382760212324024,False,False,False,False,True,False,True,False,False,False,True,False
False,False,False,0.028169014084507043,True,False,False,False,False,False,False,False,False,0.013432835820895536,0.004909993076390492,False,True,False,True,False,False,False,False,True,False,False,True
False,False,False,0.0,True,False,False,False,False,False,False,False,True,0.272636815920398,0.0030983152550196165,True,True,True,False,False,False,False,True,False,True,False,False
False,False,True,0.4084507042253521,True,False,False,True,True,False,True,False,False,0.4601990049751244,0.2205342718670667,False,True,False,True,False,False,True,False,False,True,False,False
False,True,True,0.19718309859154928,True,False,False,True,True,True,False,True,True,0.5099502487562189,0.12146318947611356,False,True,True,False,False,False,False,False,True,True,False,False
False,True,True,0.09859154929577464,True,False,False,False,False,True,True,True,True,0.5004975124378109,0.06295291945534273,False,False,True,False,False,False,False,True,False,True,False,False
False,False,False,0.08450704225352113,True,True,False,False,False,False,True,True,False,0.763681592039801,0.07347103623355643,True,True,True,False,False,False,False,False,True,False,True,False
False,True,True,0.971830985915493,True,True,True,True,True,False,True,True,True,0.8945273631840797,0.9129644588045234,False,False,False,True,False,False,True,False,False,False,True,False
False,True,True,0.8591549295774648,True,False,True,True,True,True,True,True,False,0.6751243781094527,0.5996365105008077,False,True,False,False,True,False,False,True,False,True,False,False
False,True,True,0.07042253521126761,True,False,False,False,False,False,False,False,False,0.014427860696517405,0.010927763674128779,False,False,True,False,False,False,False,False,True,False,False,True
False,True,True,0.18309859154929578,True,False,False,False,False,False,False,True,True,0.6233830845771144,0.1308562197092084,False,False,True,False,False,True,False,False,False,False,True,False
False,False,False,0.29577464788732394,True,True,False,False,False,False,True,False,True,0.6557213930348259,0.208071774751904,False,False,True,False,False,True,False,False,False,False,True,False
False,True,True,0.29577464788732394,True,False,False,False,False,False,False,False,False,0.018905472636815905,0.0462843295638126,False,True,False,True,False,False,False,False,True,False,False,True
False,True,True,0.2112676056338028,True,False,True,False,True,False,True,False,False,0.4577114427860697,0.11599353796445881,False,True,False,False,True,False,False,False,True,True,False,False
False,False,False,0.1267605633802817,True,True,False,False,False,False,False,False,False,0.07412935323383084,0.02686360489268405,False,True,False,False,True,True,False,False,False,False,False,True
False,False,True,0.16901408450704225,True,False,True,True,False,False,False,False,True,0.3756218905472637,0.08605469651511655,False,False,True,False,False,False,False,True,False,True,False,False
False,True,False,0.2676056338028169,True,True,True,False,False,False,False,False,False,0.6383084577114428,0.18157742903300253,True,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.014084507042253521,True,False,False,False,False,False,False,False,True,0.5119402985074627,0.013431802446342025,False,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.7323943661971831,True,True,False,True,True,True,False,True,True,0.5537313432835822,0.4545868912993307,False,True,False,False,True,True,False,False,False,True,False,False
False,True,True,0.14084507042253522,True,False,False,False,False,False,False,False,False,0.02338308457711444,0.024821140087699055,False,False,False,True,False,False,False,False,True,False,False,True
False,True,False,0.9577464788732394,True,False,False,False,False,False,False,False,False,0.01641791044776118,0.15516385875836605,False,True,False,False,True,False,False,False,True,False,False,True
False,False,False,0.04225352112676056,True,False,False,False,False,False,False,False,True,0.5238805970149254,0.02933302561735518,True,False,True,False,False,True,False,False,False,False,True,False
False,True,False,1.0,True,True,True,True,True,True,True,True,True,0.7044776119402985,0.7195534271867067,False,True,False,False,True,True,False,False,False,True,False,False
True,True,False,0.8028169014084507,False,False,False,True,True,False,False,True,True,0.2691542288557214,0.30376182783291017,True,True,True,False,False,False,False,True,False,True,False,False
False,True,True,0.2112676056338028,True,False,False,False,False,False,False,False,False,0.021393034825870634,0.034918070620816984,False,False,True,False,False,False,False,True,False,False,False,True
False,True,False,0.5915492957746479,True,False,True,False,True,True,False,False,True,0.6567164179104478,0.4062370182321717,False,True,False,True,False,True,False,False,False,False,True,False
False,True,False,0.014084507042253521,True,True,False,False,True,True,True,True,True,0.8572139303482588,0.025848142164781908,True,False,True,False,False,False,False,True,False,False,True,False
False,True,False,0.18309859154929578,True,False,False,True,True,True,True,True,False,0.6338308457711443,0.13419686129702285,False,True,False,False,True,False,False,False,True,True,False,False
False,True,False,0.7323943661971831,True,False,False,False,True,False,True,True,True,0.7621890547263681,0.574821140087699,True,False,False,True,False,True,False,False,False,False,True,False
False,False,False,0.43661971830985913,True,False,False,False,False,False,False,False,False,0.02288557213930349,0.07336141241633971,False,False,False,True,False,True,False,False,False,False,False,True
False,True,False,0.4647887323943662,True,True,False,False,False,False,False,False,False,0.06417910447761194,0.08786060466189707,False,False,True,False,False,False,False,True,False,False,False,True
True,False,False,0.19718309859154928,True,True,False,False,False,False,False,False,True,0.5592039800995026,0.13003692591737828,True,False,True,False,False,False,False,False,True,False,True,False
True,False,False,0.08450704225352113,True,False,True,False,False,False,False,False,False,0.5791044776119403,0.0559427648280637,True,False,True,False,False,True,False,False,False,False,True,False
False,True,True,0.19718309859154928,True,True,False,True,True,False,True,True,True,0.8666666666666666,0.1777579044541888,False,False,True,False,False,True,False,False,False,False,True,False
False,True,False,0.8450704225352113,True,False,False,False,False,False,False,False,True,0.02288557213930349,0.14230325409646896,False,True,False,True,False,False,True,False,False,False,False,True
False,False,False,0.0,False,False,False,True,False,False,False,False,False,0.11641791044776119,0.0012866374336487421,True,False,True,False,False,True,False,False,False,True,False,False
False,False,False,0.0,True,False,False,False,False,False,False,False,False,0.2691542288557214,0.0030579275328871448,False,False,True,False,False,False,False,False,True,True,False,False
